Hours_Studied,Exam_Score
0.1,33.2
0.1,36.2
0.2,46.7
0.2,42.0
0.3,30.5
0.4,38.9
0.4,48.0
0.4,38.3
0.5,38.5
0.5,40.9
0.6,34.3
0.6,34.5
0.7,33.2
0.8,43.0
0.8,38.7
0.9,40.1
0.9,52.0
0.9,43.8
1.1,45.0
1.1,42.8
1.1,44.2
1.2,34.6
1.3,45.1
1.3,47.4
1.4,54.1
1.4,45.9
1.4,44.5
1.4,40.0
1.5,45.1
1.7,42.8
1.7,45.1
1.7,46.9
1.7,40.7
1.9,55.7
1.9,48.8
1.9,41.3
2.0,49.4
2.1,51.6
2.2,48.9
2.2,47.5
2.2,52.3
2.2,57.7
2.2,51.0
2.4,68.7
2.4,41.3
2.4,48.1
2.5,52.1
2.7,46.6
2.7,45.0
2.7,45.1
2.7,52.2
2.9,55.5
2.9,49.4
2.9,53.6
2.9,51.3
3.0,49.5
3.0,57.2
3.1,49.2
3.1,49.5
3.3,52.0
3.3,58.1
3.4,59.9
3.4,51.5
3.5,39.8
3.5,51.9
3.5,57.4
3.6,53.1
3.7,47.1
3.7,57.5
3.7,56.0
3.7,53.0
3.8,59.4
3.8,52.9
3.8,50.2
3.9,64.1
3.9,59.3
3.9,61.3
4.0,69.7
4.1,60.0
4.1,49.8
4.1,52.4
4.2,53.2
4.3,57.1
4.3,64.6
4.4,60.4
4.4,65.5
4.4,65.5
4.5,58.6
4.6,65.7
4.7,68.0
4.9,66.6
5.0,72.9
5.1,67.6
5.1,62.6
5.2,61.8
5.3,71.1
5.5,68.1
5.7,68.6
5.9,67.1
5.9,64.2
5.9,71.0
6.0,72.8
6.0,74.1
6.1,69.2
6.1,74.9
6.1,66.6
6.2,73.6
6.2,66.5
6.2,85.8
6.3,81.6
6.3,69.0
6.4,73.5
6.4,69.3
6.5,72.8
6.5,66.8
6.6,76.4
6.7,73.5
6.7,72.4
7.1,80.6
7.1,80.7
7.2,74.6
7.2,80.8
7.2,73.3
7.3,82.9
7.3,73.4
7.3,78.4
7.5,76.7
7.6,88.8
7.6,85.8
7.6,81.8
7.6,87.1
7.6,84.7
7.7,87.0
7.7,85.5
7.9,80.8
8.0,83.8
8.1,79.5
8.1,86.3
8.2,82.0
8.3,87.9
8.4,82.3
8.5,89.9
8.5,86.3
8.6,90.9
8.7,83.6
8.7,81.8
8.7,92.7
8.8,84.5
8.8,89.3
9.1,88.6
9.1,83.6
9.1,93.5
9.3,96.1
9.3,88.4
9.3,94.2
9.3,87.2
9.4,98.7
9.4,98.8
9.6,93.0
9.6,90.4
9.7,99.0
9.7,87.0
9.7,92.8
9.8,95.9
9.8,94.1
9.8,99.2
9.9,92.8
10.0,99.8
10.0,93.4
10.3,94.9
10.4,100.0
10.4,97.6
10.5,97.3
10.5,90.8
10.6,94.6
10.6,100.0
10.7,100.0
10.7,94.5
10.8,97.3
10.8,99.9
10.8,98.7
10.8,97.4
10.9,100.0
10.9,100.0
10.9,100.0
11.1,100.0
11.1,100.0
11.2,100.0
11.2,100.0
11.3,100.0
11.3,95.9
11.4,100.0
11.4,100.0
11.5,100.0
11.6,100.0
11.6,100.0
11.6,100.0
11.7,100.0
11.8,96.5
11.8,100.0
