Hours_Studied,Exam_Score
0.6,31.3
0.6,33.7
0.7,42.2
0.7,38.4
0.8,29.3
0.9,36.2
0.9,43.5
0.9,35.7
1.0,36.0
1.0,37.9
1.0,32.1
1.1,32.9
1.2,39.3
1.2,35.9
1.2,32.0
1.4,37.9
1.4,47.4
1.4,40.8
1.5,41.5
1.5,40.8
1.6,33.4
1.6,40.4
1.7,43.8
1.8,42.6
1.8,38.1
1.8,41.6
1.9,42.3
1.9,43.5
1.9,50.0
2.1,40.9
2.1,39.3
2.1,44.2
2.2,43.5
2.3,46.2
2.3,51.8
2.4,40.9
2.5,48.9
2.5,47.7
2.6,47.1
2.6,46.0
2.6,49.8
2.6,54.1
2.6,48.8
2.8,63.5
2.8,41.6
2.8,47.0
2.9,50.5
3.1,46.7
3.1,45.4
3.1,45.5
3.1,51.2
3.2,50.3
3.3,54.4
3.3,52.9
3.3,49.6
3.4,49.9
3.4,56.2
3.5,50.0
3.5,50.3
3.6,57.0
3.7,53.0
3.7,52.1
3.8,43.1
3.8,52.8
3.8,59.6
3.9,58.0
4.0,54.9
4.0,54.3
4.0,56.7
4.1,58.8
4.1,50.4
4.1,52.4
4.2,55.4
4.2,60.1
4.2,63.9
4.2,60.7
4.2,61.7
4.3,68.8
4.4,61.4
4.4,53.3
4.4,55.3
4.5,56.3
4.6,59.9
4.6,65.8
4.7,62.8
4.7,66.9
4.7,66.9
4.8,61.8
4.9,67.9
5.0,70.1
5.2,69.8
5.3,75.2
5.4,71.4
5.4,67.4
5.5,67.1
5.6,75.0
5.7,72.5
5.9,73.8
6.1,76.5
6.2,74.3
6.2,78.3
6.2,71.9
6.3,75.9
6.3,80.3
6.4,81.4
6.4,74.7
6.4,89.6
6.5,80.7
6.5,86.7
6.5,76.6
6.5,75.0
6.6,77.2
6.7,75.7
6.7,80.5
6.7,81.5
6.8,83.7
6.9,81.0
7.0,82.8
7.3,89.2
7.3,89.3
7.4,84.8
7.4,89.8
7.4,83.8
7.5,91.8
7.5,84.3
7.5,88.3
7.7,87.8
7.8,97.8
7.8,94.7
7.8,92.2
7.8,96.5
7.8,95.4
7.8,94.5
7.9,96.8
8.1,94.5
8.1,92.6
8.2,97.0
8.3,92.4
8.4,99.1
8.4,94.8
8.6,100.0
8.6,95.8
8.6,98.6
8.7,100.0
8.8,97.1
8.9,96.6
8.9,98.2
8.9,100.0
8.9,100.0
9.2,98.6
9.2,100.0
9.3,100.0
9.4,100.0
9.4,100.0
9.4,100.0
9.4,100.0
9.5,100.0
9.5,100.0
9.7,100.0
9.7,100.0
9.8,100.0
9.8,100.0
9.8,100.0
9.9,100.0
9.9,100.0
9.9,100.0
10.0,100.0
10.1,100.0
10.1,100.0
10.4,100.0
10.4,100.0
10.5,100.0
10.5,100.0
10.6,100.0
10.7,100.0
10.7,100.0
10.8,100.0
10.8,100.0
10.8,100.0
10.8,100.0
10.8,100.0
10.9,100.0
10.9,100.0
10.9,100.0
11.0,100.0
11.1,100.0
11.1,100.0
11.2,100.0
11.3,100.0
11.3,100.0
11.3,100.0
11.4,100.0
11.4,100.0
11.6,100.0
11.6,100.0
11.7,100.0
11.7,100.0
11.7,100.0
11.8,100.0
11.8,100.0
